# filename: codebook.csv
tabela,var_name,label_pt,descricao,tipo,dominio_permitido,unidade_medida,derivacao,nulos_permitidos,intervalo_valido,chave,notas
participacao_municipio_turno,ano,Ano,"Ano da eleição (calendário civil).",int64,"[1988,2025]",código,―,não,"[1988,2025]",pk,"Parte da chave primária."
participacao_municipio_turno,turno,Turno,"Número do turno: 1 ou 2.",int64,"{1,2}",código,―,não,"{1,2}",pk,"Parte da chave primária."
participacao_municipio_turno,tipo_eleicao,Tipo de eleição,"Tipo do pleito conforme calendário eleitoral: geral ou municipal.",string,"{geral,municipal}",texto,―,não,―,―,"Usado para rotulagem e validações contextuais."
participacao_municipio_turno,cargo_representante,Cargo representante,"Cargo usado como representante da participação: PR (gerais) ou PREF (municipais).",string,"{PR,PREF}",código,―,não,"{PR,PREF}",pk,"Parte da chave primária; mapeia para cd_cargo."
participacao_municipio_turno,cd_cargo,Código do cargo,"Código numérico do cargo representante: 1=Presidente, 11=Prefeito.",int64,"{1,11}",código,―,não,"{1,11}",fk→dim_cargo.cd_cargo,"Consistência 1:1 com cargo_representante."
participacao_municipio_turno,sg_uf,UF,"Sigla da Unidade da Federação.",string,"{AC,AL,AP,AM,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO}",código,―,não,―,pk,"Parte da chave primária; fk para dim_uf.sg_uf."
participacao_municipio_turno,id_municipio_tse,Código TSE do município,"Identificador oficial do município no TSE (único por UF).",int64,"[0,+inf)",código,―,não,"[0,+inf)",pk,"Parte da chave primária; fk para dim_municipio."
participacao_municipio_turno,id_municipio_ibge,Código IBGE do município,"Identificador de 7 dígitos do IBGE.",int64,"[0,+inf)",código,―,sim,"[0,+inf)",fk→dim_municipio.id_municipio_ibge,"Pode faltar em casos históricos raros; harmonizado via crosswalk."
participacao_municipio_turno,nome_municipio,Nome do município,"Nome oficial do município no ano do pleito.",string,"qualquer string",texto,―,sim,―,―,"Varia ao longo do tempo; usar códigos para joins."
participacao_municipio_turno,total_aptos,Eleitores aptos,"Total de eleitores aptos a votar no turno e cargo representativo.",int64,"[0,+inf)",contagem,―,não,"[0,+inf)",―,"Fonte primária TSE/ELO; denominador das taxas."
participacao_municipio_turno,total_comparecimento,Comparecimento,"Total de eleitores que compareceram às urnas.",int64,"[0,+inf)",contagem,―,não,"[0,+inf)",―,"Igual ao total de votos apurados (todas as naturezas)."
participacao_municipio_turno,total_abstencoes,Abstenções,"Total de eleitores aptos que não compareceram.",int64,"[0,+inf)",contagem,"total_aptos - total_comparecimento",não,"[0,+inf)",―,"Identidade: total_aptos = comparecimento + abstenções."
participacao_municipio_turno,votos_brancos,Votos brancos,"Total de votos brancos no cargo representante.",int64,"[0,+inf)",contagem,―,não,"[0,+inf)",―,"Inclui apenas brancos do eleitor."
